date,city,latitude,temp_min_c,temp_max_c,temp_mean_c,rainfall_mm,humidity_pct
2015-01-01,Abuja,9.06,18.8,27.8,23.5,0.0,53.0
2015-01-02,Abuja,9.06,18.7,27.7,23.8,0.0,60.0
2015-01-03,Abuja,9.06,19.5,26.9,23.2,0.0,59.0
2015-01-04,Abuja,9.06,18.3,25.5,22.4,0.0,52.0
2015-01-05,Abuja,9.06,19.2,27.9,24.2,0.0,56.0
2015-01-06,Abuja,9.06,19.9,28.6,24.1,1.3,52.0
2015-01-07,Abuja,9.06,19.4,28.6,23.9,0.0,56.0
2015-01-08,Abuja,9.06,18.1,25.9,22.4,0.0,56.0
2015-01-09,Abuja,9.06,17.6,24.8,21.8,0.0,62.0
2015-01-10,Abuja,9.06,19.2,28.0,23.4,0.0,57.0
2015-01-11,Abuja,9.06,20.7,28.4,24.4,0.0,57.0
2015-01-12,Abuja,9.06,19.8,27.8,24.6,0.0,57.0
2015-01-13,Abuja,9.06,19.0,26.2,24.1,3.8,51.0
2015-01-14,Abuja,9.06,18.6,26.4,23.0,0.0,58.0
2015-01-15,Abuja,9.06,17.6,26.4,22.7,0.0,60.0
2015-01-16,Abuja,9.06,19.4,26.9,23.6,0.0,59.0
2015-01-17,Abuja,9.06,19.5,28.0,23.6,0.0,61.0
2015-01-18,Abuja,9.06,20.2,28.4,24.9,7.2,62.0
2015-01-19,Abuja,9.06,18.4,27.2,23.2,0.0,68.0
2015-01-20,Abuja,9.06,18.9,28.8,23.3,0.0,54.0
2015-01-21,Abuja,9.06,21.2,30.2,26.1,0.0,60.0
2015-01-22,Abuja,9.06,21.8,29.5,25.6,0.0,60.0
2015-01-23,Abuja,9.06,18.6,26.9,22.9,0.0,58.0
2015-01-24,Abuja,9.06,20.5,30.0,25.6,1.7,57.0
2015-01-25,Abuja,9.06,17.7,27.1,22.8,5.7,61.0
2015-01-26,Abuja,9.06,18.6,27.0,23.6,0.0,61.0
2015-01-27,Abuja,9.06,18.7,27.5,23.8,5.1,55.0
2015-01-28,Abuja,9.06,19.8,27.7,24.1,0.0,52.0
2015-01-29,Abuja,9.06,21.4,28.7,24.9,1.9,58.0
2015-01-30,Abuja,9.06,20.0,29.5,24.4,0.0,57.0
2015-01-31,Abuja,9.06,20.1,29.4,25.0,0.0,62.0
2015-02-01,Abuja,9.06,19.0,27.9,23.9,0.0,56.0
2015-02-02,Abuja,9.06,20.7,29.6,24.8,0.0,59.0
2015-02-03,Abuja,9.06,20.7,28.7,24.6,0.0,53.0
